ID,Đại lý,Tên viết tắt,Phân loại đại lý,Đại lý mẹ,Tỉnh/Thành phố,Quận huyện,Địa chỉ,Quản lý,Có hiệu lực/Vô hiệu lực
24,Cửa Hàng Bán Lẻ LPG Chai Gas Ba Hùng,ĐL-024Cửa Hàng Bán Lẻ LPG Chai Gas Ba Hùng,Đại lý tổng,,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,"Số 122 A Đường số 8, KP.3, P.Linh Xuân",,Có hiệu lực
25,Cửa Hàng Bán Lẻ LPG Chai Gas Tuấn Anh,ĐL-025Cửa Hàng Bán Lẻ LPG Chai Gas Tuấn Anh,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thuận An,"30D/3D Kp Bình Đáng, Phường Bình Hòa ",,Có hiệu lực
26,Cửa Hàng Bán Lẻ LPG Chai Đăng Khoa,ĐL-026Cửa Hàng Bán Lẻ LPG Chai Đăng Khoa,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận Gò Vấp,450 Phan Huy ích P.12 - Phường 12,,Có hiệu lực
27,Cửa Hàng Bán Lẻ LPG Chai Bùi Anh Tuấn ( Gas Đông Tuấn ),ĐL-027Cửa Hàng Bán Lẻ LPG Chai Bùi Anh Tuấn ( Gas Đông Tuấn ),Đại lý tổng,,Thành phố Hồ Chí Minh,Huyện Hóc Môn,112 ấp Đông X.Thới Tam thôn - Xã Thới Tam Thôn ,,Có hiệu lực
28,Cửa Hàng Bán Lẻ LPG Chai Hòa An,ĐL-028Cửa Hàng Bán Lẻ LPG Chai Hòa An,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận Gò Vấp,"79/862 Lê Đức Thọ, Phường 06",,Có hiệu lực
29,Cửa Hàng Bán Lẻ LPG Chai Minh Nguyệt,ĐL-029Cửa Hàng Bán Lẻ LPG Chai Minh Nguyệt,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận Bình Thạnh,"117 Đinh Bộ Lĩnh, Phường 15",saleshcm,Có hiệu lực
30,Cửa Hàng Bán Lẻ LPG Chai Hoàng Sơn ,ĐL-030Cửa Hàng Bán Lẻ LPG Chai Hoàng Sơn ,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận Bình Thạnh,253 Bùi Đình Tuý - Phường 24 ,,Có hiệu lực
31,Cửa Hàng Bán Lẻ LPG Chai Hoàng Yến,ĐL-031Cửa Hàng Bán Lẻ LPG Chai Hoàng Yến,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thuận An,"200, Thạnh Lợi , An Thạnh - Phường An Thạnh",,Có hiệu lực
32,CÔNG TY TNHH FAMILY SOUP,ĐL-033CÔNG TY TNHH FAMILY SOUP,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận Bình Tân,"60/03/39 Đường số 5, Phường Bình Hưng Hòa",,Có hiệu lực
33,Cửa Hàng Bán Lẻ LPG Chai Phương Anh,ĐL-034Cửa Hàng Bán Lẻ LPG Chai Phương Anh,Đại lý tổng,,Tỉnh Bình Phước,Huyện Chơn Thành,"Tổ 3, Ấp 1, Xã Thành Tâm",salesbd,Có hiệu lực
34,CÔNG TY TNHH DẦU KHÍ PHÚ ĐỨC,ĐL-035CÔNG TY TNHH DẦU KHÍ PHÚ ĐỨC,Đại lý tổng,,Tỉnh Bình Phước,Thị xã Bình Long,"384 Nguyễn Huệ, Phường Phú Thịnh",,Có hiệu lực
35,CÔNG TY TNHH LƯƠNG THỰC THỰC PHẨM SỐ 1 BÌNH DƯƠNG,ĐL-036CÔNG TY TNHH LƯƠNG THỰC THỰC PHẨM SỐ 1 BÌNH DƯƠNG,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thủ Dầu Một,"Số A2E1.03 chung cư Becamex, Phường Hoà Phú",salesbd,Có hiệu lực
36,CÔNG TY TNHH POSCO VIỆT NAM HOLDINGS- CHI NHÁNH ĐỒNG NAI- VHPC,ĐL-037CÔNG TY TNHH POSCO VIỆT NAM HOLDINGS- CHI NHÁNH ĐỒNG NAI- VHPC,Đại lý tổng,,Tỉnh Đồng Nai,Huyện Nhơn Trạch,"KCN Nhơn Trạch 5, Xã Long Thọ",,Có hiệu lực
